2024-12-04 17:16:44.138 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 17:16:44.471 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.326 сек., синхр.=0.003 сек., всего=0.333 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=4 kB, ожидалось=7 kB; lsn=0/210B7D8, lsn redo=0/210B7A0
2024-12-04 17:21:44.483 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 17:21:44.813 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.322 сек., синхр.=0.003 сек., всего=0.331 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=4 kB, ожидалось=7 kB; lsn=0/210CA88, lsn redo=0/210CA50
2024-12-04 17:26:44.820 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 17:26:45.155 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.327 сек., синхр.=0.003 сек., всего=0.335 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=5 kB, ожидалось=7 kB; lsn=0/210E0A0, lsn redo=0/210E068
2024-12-04 17:31:44.157 MSK [10000] СООБЩЕНИЕ:  начата контрольная точка: time
2024-12-04 17:31:44.490 MSK [10000] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 4 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.325 сек., синхр.=0.003 сек., всего=0.333 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.001 сек., средняя=0.001 сек.; расстояние=6 kB, ожидалось=7 kB; lsn=0/210F8A8, lsn redo=0/210F870
2024-12-04 17:41:10.128 MSK [29176] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2024-12-04 17:41:10.128 MSK [41372] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
